Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
title;date;author;category;reading_time;views;tags;image;content
"**h1**Affaire FTX : ""Regroupement des investisseurs Français lésés. Possibilité pour les investisseurs Français de se tourner contre FTX pour escroqueries."" **h1**";05 Déc 2022;Cabinet d’avocats Ziegler & Associés;Numérique;3 min.;619 vues;FTX, faillite, cryptomonnaie, argent, escroquerie;;
**h1**Affaire N26 : droits & devoirs des parties au sein d’une convention de compte **h1**;09 Fév 2022;Cabinet d’avocats Ziegler & Associés;Bancaire;6 min.;717 vues;N26, conditions, droit bancaire, contrat, banque en ligne;/files/images/toPNczdOQsW6SLjILYAPxA/content/1644418625/2349753/100/n26.jpeg;
**h1**Arnaque à l’annonce immobilière **h1**;23 Fév 2022;Cabinet d’avocats Ziegler & Associés;Actualités;1 min.;289 vues;annonce, immobilier, acheter, maison, avocats;/files/images/toPNczdOQsW6SLjILYAPxA/content/1645635446/2377636/100/annonce_immobiliere.png <content>;" Le contexte de l'achat 

Un jeune couple parcourait les sites d’annonces immobilières afin d’acheter une maison. Trouvant enfin la maison de leur rêve, une maison à 420 000€, ils échangent avec le propriétaire. En effet, le couple habite dans le nord mais la maison est située dans le sud de la France, en période de covid, cela rend les choses compliquées pour les visites, les démarches administratives, etc.

 Une relation de confiance avec les escrocs 

Ainsi, suite à des échanges récurrents avec les propriétaires, une relation de confiance s’installe. En effet, ils envoient des photos de la maison, organisent des visioconférences, donnent des détails sur la consommation, le voisinage, les commerces alentours, l’histoire de la maison…

 

Quelque temps plus tard, les propriétaires annoncent que d’autres acheteurs sont intéressés mais qu’ils souhaitent vendre au couple car ils ont noué une réelle relation de confiance. Les propriétaires leur mettent alors un peu de pression pour acheter rapidement mais le couple répond qu’il attend la réponse de la banque pour le prêt bancaire.

 L'acompte : une escroquerie 

Le vendeur propose donc de prendre un acompte afin de réserver le bien et établir les contrats en attendant la réponse de la banque. Par conséquent, le couple envoie une avance de 170 000€. Une semaine plus tard, le couple appelle les propriétaires pour savoir s’ils ont bien reçu l’argent, mais pas de réponse.

 

Après plusieurs mails sans retour, le couple appelle la banque des propriétaires pour savoir si le virement a été reçu, ce que la banque confirme.

 Le cabinet se charge de l'affaire 

Paniqué, le couple appelle le cabinet qui effectue des recherches sur l’identité de ces soi-disant propriétaires et découvre que beaucoup de forum (quel-est-le-role-de-l-autorite-des-marches-financiers-amf.html) crient à l’arnaque. A cet instant, le cabinet a rédigé une plainte au procureur de la République qui a mené l’enquête. Nous en sommes aujourd’hui au stade du procès contre ces escrocs qui ont été retrouvés.









©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
**h1**Blockchain-Compliance.org : Une arnaque financière d'après les investisseurs **h1**;30 Août 2023;Cabinet d’avocats Ziegler & Associés;Arnaques;2 min.;549 vues;arnaque financière, arnaque trading, plateforme de trading, blockchain;/files/images/toPNczdOQsW6SLjILYAPxA/content/1693408360/3209901/100/copie_de_sans_titre-3.png <content>;"Les cyber-escroqueries sont devenues une menace majeure (clconseil-patrimoine-com-une-arnaque-financiere.html) pour le monde de l'internet, et blockchain-compliance.org semble être le dernier en date à figurer sur cette liste noire. Les preuves s'accumulent et mettent en lumière les pratiques douteuses de ce site.

 Les indicateurs de méfiance liés à Blockchain-Compliance.org 

L'une des principales alarmes qui sonnent lorsqu'on parle de blockchain-compliance.org est sa brève existence sur la toile. Créé le 16 janvier 2023, le site a fait son apparition il y a à peine 190 jours. Pour un service proposant des solutions de cette envergure, une telle jeunesse est loin d'être rassurante et suscite de légitimes inquiétudes.

 Blockchain-Compliance.org : Mise en garde par l’Assurance Banque Epargne Info Service 

Le site a attiré l'attention des autorités compétentes. La présence de blockchain-compliance.org sur la liste noire de l’Assurance Banque Epargne Info Service est un signal rouge pour tous les utilisateurs. Malgré les tentatives de l'entité de se décrire comme une victime de conspirations, la mise en garde émise par cette autorité révèle clairement le risque associé à tout engagement avec eux.

 

Il est également essentiel de noter que les victimes de blockchain-compliance.org doivent être extrêmement prudentes. Non seulement elles sont susceptibles d'être à nouveau ciblées par des escroqueries, mais elles courent également le risque d'usurpation d'identité, en particulier si elles ont transmis des documents personnels au site.

 Témoignage d'un Utilisateur de Blockchain-Compliance.org 

Un récent témoignage met en lumière le modus operandi de ces escrocs. Ils attirent d'abord leurs victimes en leur proposant d'investir dans la crypto-monnaie avec trois options de palier : 250€, 5000€, et un bitcoin. Leurs moyens de communication privilégiés sont via WhatsApp. Au début, pour gagner la confiance de leurs victimes, ils remboursent l'investissement initial. Cependant, une fois cette confiance établie, ils encouragent leurs victimes à investir davantage, bloquent leur argent, et proposent des assurances douteuses pour échapper aux impôts. Le piège se referme lorsque les victimes voient leurs gains augmenter fictivement sur leur serveur, mais lorsqu'elles tentent de retirer leur argent, tout est perdu.

 Faire appel à un avocat 

Blockchain-compliance.org, avec ses méthodes trompeuses, son historique douteux, et les mises en garde officielles, semble indéniablement être une menace pour les internautes. Dans ce monde numérique, la prudence est de mise. Avant de s'engager avec un site ou une entité en ligne, il est toujours recommandé de mener des recherches approfondies pour éviter de tomber dans les pièges tendus par des escrocs toujours plus inventifs.

 

Si vous êtes victime de ce genre de préjudice, il est fortement recommandé de faire appel à un avocat spécialisé dans ce domaine. La compréhension des aspects juridiques et la protection de vos droits sont essentielles pour résoudre de tels incidents et pour vous assurer d'obtenir la justice. Ne restez pas silencieux, parlez-en à votre entourage et à des professionnels. La sécurité en ligne est une responsabilité partagée, et la sensibilisation peut nous aider à protéger non seulement nous-mêmes, mais aussi d'autres personnes potentiellement vulnérables.

 Faites-vous accompagner par un cabinet spécialisé 










©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
**h1**Blockchain.unblockfund.com : une arnaque suspectée d’après des témoignages **h1**;08 Fév 2024;Cabinet d’avocats Ziegler & Associés;Arnaques;3 min.;102 vues;escroquerie en ligne, arnaque trading, témoignages, blockchain, escroquerie, arnaque;/files/images/toPNczdOQsW6SLjILYAPxA/content/1707407804/3420738/100/design_sans_titre.png <content>;"Dans le monde en constante évolution de la technologie financière, l'innovation blockchain a ouvert la voie à d'innombrables possibilités, notamment dans le secteur des cryptomonnaies. Toutefois, cette révolution numérique s'accompagne de son lot de défis, en particulier la prolifération des arnaques en ligne qui exploitent l'intérêt croissant pour les investissements en cryptomonnaies. Un exemple récent de cette tendance inquiétante est l'émergence du site blockchain.unblockfund.com (https://blockchain.unblockfund.com/), qui, sous couvert d'offrir des services liés à la blockchain, s'avère être une arnaque bien orchestrée.

 L'alerte rouge : un site trop jeune pour être crédible 

L'un des premiers signaux d'alarme concernant blockchain.unblockfund.com est la fraîcheur de son URL. Créée le 26 septembre 2023, cette URL n'a que quelques mois d'existence, un délai bien trop court pour un acteur prétendant offrir des services financiers complexes liés à la blockchain. Cette précipitation à s'établir, loin d'être rassurante, éveille la suspicion et souligne l'importance de la vigilance dans l'évaluation de la légitimité des plateformes d'investissement en cryptomonnaies. (escroqueries-financieres-comment-se-proteger-des-fraudes-sophistiquees.html)

 Une usurpation d'identité flagrante 

La supercherie de blockchain.unblockfund.com ne s'arrête pas à sa jeunesse. Le site s'efforce de se faire passer pour Blockchain.com, une entreprise reconnue dans l'espace des cryptomonnaies. En examinant de plus près les URLs, il est clair que blockchain.unblockfund.com tente subtilement de mimer l'identité de Blockchain.com, une tactique d'usurpation d'identité classique visant à tromper les utilisateurs moins avertis.

 Des mentions légales douteuses 

Toute plateforme légitime se doit de fournir des mentions légales transparentes pour établir un lien de confiance avec ses utilisateurs. Pourtant, blockchain.unblockfund.com flirte avec la légalité en affichant des mentions légales qui s'avèrent être délibérément trompeuses. Loin de rassurer, ces informations fabriquées ne font qu'accentuer les soupçons quant à la nature frauduleuse de ce site.

 L'absence d'enregistrement officiel 

Un indicateur infaillible de la fiabilité d'une entité financière est son inscription auprès des régulateurs financiers. blockchain.unblockfund.com, cependant, ne figure sur aucune liste officielle, ce qui renforce l'hypothèse d'une arnaque. Bien que l'absence d'une telle inscription ne soit pas une preuve irréfutable de fraude, elle constitue un avertissement sérieux pour les investisseurs potentiels.

 Témoignages de victimes 

Une victime a été induite en erreur par un faux intermédiaire, la convaincant de transférer un total de 20 000€ pour débloquer des fonds non existants. Face à une ultime demande de 4 400€ pour accéder à 58 000€ supposés, elle a réalisé l'escroquerie. Ce cas rappelle l'importance de la prudence dans les investissements en cryptomonnaies et souligne la sophistication des stratagèmes frauduleux.

 

Sur Trust Pilot d’autres victimes partagent leurs témoignages. Un utilisateur expérimenté de la blockchain s'est retrouvé face à un compte bloqué sans explication. Après avoir appris par le service client que son compte avait été compromis, avec 60 000€ en jeu, il s'est vu dire que rien ne pouvait être fait pour récupérer ses fonds.

 

Ces témoignages mettent en garde contre les risques liés aux investissements en cryptomonnaies et soulignent l'importance de la vigilance face aux offres semblant trop belles pour être vraies. Ils rappellent également que, malgré les défis, des solutions peuvent parfois être trouvées grâce à des acteurs légitimes et compétents dans le domaine de la sécurité numérique.

 Prudence et action : Faites-vous accompagner par notre cabinet d’avocats 

Face à ces éléments, la conclusion est sans appel : blockchain.unblockfund.com est une arnaque financière. L'essor des escroqueries en ligne dans le secteur des cryptomonnaies exige une vigilance accrue de la part des investisseurs. Pour ceux qui ont déjà été victimes, des mesures comme le rappel de fonds d'urgence offrent une lueur d'espoir, bien que le succès de ces démarches ne soit pas garanti. Il est essentiel de signaler ces fraudes aux autorités compétentes pour non seulement chercher réparation mais aussi prévenir de futures victimes. Dans cet écosystème numérique en rapide évolution, l'information et la prudence restent les meilleures défenses contre les arnaques financières.

 

Si vous êtes victime de ce genre de préjudice, il est fortement recommandé de faire appel à un avocat dans ce domaine. La compréhension des aspects juridiques et la protection de vos droits sont essentielles pour résoudre de tels incidents et pour vous assurer d'obtenir la justice. Ne restez pas silencieux, parlez-en à votre entourage et à des professionnels. La sécurité en ligne est une responsabilité partagée, et la sensibilisation peut nous aider à protéger non seulement nous-mêmes, mais aussi d'autres personnes potentiellement vulnérables.












©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
**h1**Cas d’Exodusfutures.io : Arnaque suspectée **h1**;09 Fév 2024;Cabinet d’avocats Ziegler & Associés;Arnaques;2 min.;152 vues;exodus, exodusfutures, bitcoin, cryptomonnaie, escroquerie, arnaque;/files/images/toPNczdOQsW6SLjILYAPxA/content/1707496700/3422379/100/copie_de_sans_titre-3.png <content>;"L'univers des cryptomonnaies, prometteur et en constante évolution, attire malheureusement aussi son lot d'acteurs malveillants cherchant à profiter de l'enthousiasme et de la confiance des investisseurs. Parmi ces dangers, certains sites se distinguent par leurs pratiques douteuses, et exodusfutures.io (https://www.exodus.com/) en est un exemple flagrant. Cet article vise à mettre en lumière les risques associés à cette plateforme, récemment mise en cause pour escroquerie.

 La Création Récente d'Exodusfutures.io : Un Signal d'Alarme 

La date de création du nom de domaine d'exodusfutures.io, le 29 juin 2023, soulève des interrogations quant à la légitimité de ses opérations. Avec à peine 16 jours d'existence, il est difficile de croire qu'une entreprise d'investissement financier puisse déjà disposer d'une base significative de clients. Ce délai extrêmement court, comparé aux processus habituels de mise en place d'une offre d'investissement sérieuse, est souvent révélateur d'intentions malhonnêtes.

 Les Cryptomonnaies : Un Terrain Fertile pour les Escroqueries 

Les cryptomonnaies, bien que représentant une avancée technologique majeure, offrent également un nouveau terrain de jeu pour les fraudeurs. L'augmentation de 600% des fraudes et vols de cryptomonnaies en 2021 témoigne de l'ampleur du phénomène. La nature décentralisée de la blockchain, tout en étant un atout, facilite certaines pratiques frauduleuses en l'absence d'une régulation étatique forte. Des affaires comme celle d'Onecoin, qui a causé un préjudice de plus de 4 milliards de dollars, illustrent bien les dangers présents dans cet écosystème.

 La Confusion entre Exodus et Exodusfutures.io : Une Usurpation d'Identité 

Une analyse plus approfondie révèle que exodusfutures.io tente de s'approprier la réputation de la plateforme légitime Exodus, en créant une confusion chez les utilisateurs. Cette pratique d'usurpation, consistant à légèrement modifier l'URL du site officiel, est une tactique courante chez les escrocs cherchant à gagner la confiance des victimes potentielles. Les mentions légales douteuses et l'utilisation d'adresses e-mail spécifiques pour communiquer avec les victimes renforcent cette stratégie de tromperie.

 Faites-vous accompagner par notre cabinet d’avocats 

Face à la prolifération des offres d'investissement en cryptomonnaies et à la complexité croissante des arnaques, la prudence est de mise. Le cas d'exodusfutures.io sert d'exemple poignant de la vigilance nécessaire lorsque l'on navigue dans le monde des investissements numériques. Il est essentiel de vérifier scrupuleusement les informations et de se méfier des plateformes récentes prétendant offrir des rendements exceptionnels. Rapporter les escroqueries et partager les expériences malheureuses contribue à protéger la communauté et à prévenir de futures victimes. En restant informés et vigilants, nous pouvons espérer naviguer plus sûrement dans l'espace complexe et en constante évolution des cryptomonnaies.

 

Si vous êtes victime de ce genre de préjudice, il est fortement recommandé de faire appel à un avocat dans ce domaine. La compréhension des aspects juridiques et la protection de vos droits sont essentielles pour résoudre de tels incidents et pour vous assurer d'obtenir la justice. Ne restez pas silencieux, parlez-en à votre entourage et à des professionnels. La sécurité en ligne est une responsabilité partagée, et la sensibilisation peut nous aider à protéger non seulement nous-mêmes, mais aussi d'autres personnes potentiellement vulnérables.












©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
**h1**cfd.fortuna-invest.com : Une arnaque trading avérée **h1**;18 Déc 2023;Cabinet d’avocats Ziegler & Associés;Arnaques;3 min.;1.322K vues;finance en ligne, escroquerie financière, arnaque trading, escroquerie, arnaque;/files/images/toPNczdOQsW6SLjILYAPxA/content/1702909674/3359449/100/design_sans_titre.png <content>;"Lorsqu'il s'agit de finances en ligne, la prudence est de mise. Récemment, un nouveau nom a fait surface dans le monde des escroqueries financières : cfd.fortuna-invest.com (https://cfd.fortuna-invest.com/). Dans cet article, nous allons examiner de près cette plateforme et exposer les raisons pour lesquelles il est impératif de s'en méfier.

 La préoccupation de la nouveauté 

Lorsque nous évaluons la fiabilité d'un site Web, l'un des indicateurs cruciaux est sa durée d'existence. Cependant, cfd.fortuna-invest.com est relativement nouveau, ce qui suscite immédiatement des inquiétudes. Les plateformes de trading, souvent déguisées en investissements légitimes, sont de véritables pièges. (publications/articles/quelles-sont-les-procedures-pour-denoncer-une-escroquerie-financiere.html)

 

Le trading est une activité hautement risquée (https://www.ziegler-associes.com/wiolin-une-arnaque-trading-d-apres-des-temoignages), comme le confirme une enquête de l'Autorité des Marchés Financiers en 2014. Elle a révélé que 90% des clients des sites de trading régulés de l'UE perdaient leur argent. Les chances de succès dans le trading sont presque aussi aléatoires que dans un jeu de roulette russe. Malgré ces chiffres alarmants, des sites comme cfd.fortuna-invest.com continuent de promettre des gains potentiels en devenant trader avec eux. La raison est simple : ils peuvent récupérer les pertes de leurs clients, tout comme le fait un casino. Au cours de la dernière décennie, cette industrie, qu'elle soit réglementée ou non, a escroqué les épargnants français de plus de 7 milliards d'euros, voire plus. Une grande partie de cette fraude provient d'Israël, où des enquêtes ont révélé les méthodes sans scrupules utilisées parles sites de trading pour inciter les victimes à investir et à perdre davantage. (revolut-epargne-com-une-arnaque-trading-recemment-decouverte.html)

 

De plus, il est important de noter que l'opacité entoure souvent ces sites frauduleux. Cela rend difficile la traçabilité des sommes investies, ce qui permet aux escrocs de disparaître avec l'argent des victimes sans laisser de traces.

 Le manque de transparence 

Si l'on examine de près cfd.fortuna-invest.com, il est difficile de trouver des preuves tangibles de leur légitimité. Les mentions légales sont quasiment inexistantes en ce qui concerne la société. Au lieu de fournir des informations cruciales sur leurs représentants et leur cadre juridique, le site se contente de discours généraux sur l'investissement, encourageant les visiteurs à s'inscrire et à effectuer des dépôts.

De plus, les sites d'escroquerie financière comme cfd.fortuna-invest.com ont tendance à utiliser des tactiques de persuasion agressives pour inciter les visiteurs à s'engager rapidement. Ils promettent des rendements astronomiques en un temps record, ce qui est une caractéristique typique des escroqueries en ligne.

 La liste noire et les escroqueries privées 

Périodiquement, l'Autorité des Marchés Financiers met à jour sa liste noire des entreprises et des sites non autorisés. Cfd.fortuna-invest.com y figure. Les tentatives de discréditation de cette liste par les représentants de la plateforme ne doivent pas être prises en compte. L'objectif de la liste noire est de protéger les particuliers des faux investissements.

 

De plus, cfd.fortuna-invest.com propose un espace de connexion privée, une tendance croissante dans le monde des escroqueries en ligne. Cette méthode permet aux escrocs de gagner la confiance de leurs victimes en évitant la détection précoce de la fraude. Les victimes peuvent suivre leur faux investissement et sont susceptibles de se voir proposer de nouvelles escroqueries dans un environnement qui semble légitime.



En conclusion, cfd.fortuna-invest.com est une escroquerie financière à éviter à tout prix. Les victimes de ces escroqueries en ligne ont du mal à accepter que des individus consacrent tant d'efforts à les dépouiller. Pourtant, c'est la réalité. Il est crucial de sensibiliser le public aux dangers de telles plateformes et de contribuer à la protection des particuliers contre les escroqueries financières.

 

Si vous êtes une victime de cfd.fortuna-invest.com, il est important de prendre des mesures pour minimiser les risques, notamment en portant plainte et en signalant cette plateforme aux autorités compétentes. Les escroqueries 2.0 sont devenues une industrie (mywitrade-com-une-arnaque-trading-averee.html), mais ensemble, nous pouvons lutter contre elles et protéger les épargnants. Restez vigilant et méfiez-vous des promesses trop belles pour être vraies dans le monde des finances en ligne. Votre sécurité financière en dépend.

 

Si vous êtes victime de ce genre de préjudice, il est fortement recommandé de faire appel à un avocat spécialisé dans ce domaine. La compréhension des aspects juridiques et la protection de vos droits sont essentielles pour résoudre de tels incidents et pour vous assurer d'obtenir la justice. Ne restez pas silencieux, parlez-en à votre entourage et à des professionnels. La sécurité en ligne est une responsabilité partagée, et la sensibilisation peut nous aider à protéger non seulement nous-mêmes, mais aussi d'autres personnes potentiellement vulnérables.












©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
**h1**clconseil-patrimoine.com : une arnaque financière **h1**;28 Août 2023;Cabinet d’avocats Ziegler & Associés;Arnaques;2 min.;67 vues;patrimoine, arnaque financière, faux traders, trading, arnaque;/files/images/toPNczdOQsW6SLjILYAPxA/content/1693221703/3206485/100/copie_de_sans_titre-3.png <content>;"L’avènement du numérique a certes simplifié la vie, mais il a également donné naissance à des escroqueries en ligne (escroquerie-et-abus-de-confiance-l-experience-bouleversante-d-une-victime.html) de plus en plus sophistiquées. Récemment, un site en particulier, clconseil-patrimoine.com, a suscité une inquiétude croissante parmi les épargnants français. Plongeons-nous dans l'analyse des détails troublants autour de ce site.

 Clconseil-patrimoine.com, un site au Passé Flou et aux Intentions Douteuses 

Existence éphémère et propriété cachée

Selon les informations du whois, clconseil-patrimoine.com n'a été créé que le 6 juin 2023 et a une durée de vie prévue d'une année seulement. Une telle durée courte est souvent synonyme d'intentions éphémères, voire malveillantes. Plus inquiétant encore, le propriétaire de ce site reste anonyme, cachant son identité, contrairement à la plupart des entreprises transparentes et honnêtes. 

 

L'illusion de la légitimité

Les escrocs sont connus pour utiliser des noms de domaine imitant des entreprises légitimes pour tromper leurs victimes. Le modèle d’email prénom.nom@clconseil-patrimoine.com (mailto:nom.nom@clconseil-patrimoine.com) qu'ils utilisent est un outil pour gagner la confiance des utilisateurs imprudents, masquant ainsi leur vraie nature.

 L’Alerte Rouge : Absence de Mentions Légales et Mise en Garde 

Un site sans aucune traçabilité

L'absence de mentions légales sur clconseil-patrimoine.com est un signe indéniable de ses intentions malhonnêtes. Sans information sur son gérant ou même une adresse physique, comment peut-on lui faire confiance ?

 

L'avertissement des autorités

L’Assurance Banque Épargne Info Service, un organisme reconnu, a mis en garde contre ce site en l'incluant dans sa liste noire. Cela signifie que clconseil-patrimoine.com propose des investissements sans autorisation, un signe clair de son caractère frauduleux.

 Faire appel à un avocat spécialisé 

Il ne fait aucun doute que clconseil-patrimoine.com est une menace pour les épargnants. Avec sa courte existence, son propriétaire anonyme et l'absence de mentions légales, les preuves de sa nature frauduleuse s'accumulent. À cela s'ajoute la mise en garde des autorités financières. Il est donc crucial pour les internautes de rester vigilants et de consulter des sources crédibles avant de prendre des décisions financières. Si vous avez été victime d’une telle arnaque, il est impératif de prendre des mesures, notamment en signalant votre cas aux autorités compétentes.

 

Si vous êtes victime de ce genre de préjudice, il est fortement recommandé de faire appel à un avocat spécialisé dans ce domaine. La compréhension des aspects juridiques et la protection de vos droits sont essentielles pour résoudre de tels incidents et pour vous assurer d'obtenir la justice. Ne restez pas silencieux, parlez-en à votre entourage et à des professionnels. La sécurité en ligne est une responsabilité partagée, et la sensibilisation peut nous aider à protéger non seulement nous-mêmes, mais aussi d'autres personnes potentiellement vulnérables.

 Faites-vous accompagner par un cabinet spécialisé 










©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
**h1**Comment négocier son contrat e-sport ? **h1**;16 Août 2022;Cabinet d’avocats Ziegler & Associés;Numérique;4 min.;300 vues;jeu vidéo, gaming, e-sport, contrat, avocats;/files/images/toPNczdOQsW6SLjILYAPxA/content/1660055856/2641461/100/esport.png <content>;"Accompagnant la diversification des jeux vidéo, la massification des joueurs et le développement des plateformes de streaming, le domaine des compétitions e-sport est également en plein essor. A ce titre, le League of Legends World Championship, la FIFA eWorld Cup ou encore l’Overwatch League en constituent certains importants piliers. Les compétiteurs sont généralement des joueurs passionnés et surentraînés, dans le but de devenir les meilleurs de leur catégorie, et remporter, à l’instar de toute compétition sportive classique, un gain financier en fonction de leur classement final. Certains joueurs professionnels ont ainsi fait de leur passion leur véritable métier à temps plein. 

Mais quel type de contrat de travail est applicable en matière d’e-sport ?

 Qu’est-ce qu’un contrat e-sport ? 

L’e-sport, ou sport électronique, désigne la pratique du jeu vidéo en compétition, que ce soit en amateur ou en professionnel, dans son salon ou au sein d’arènes de jeux. La pratique compétitive des jeux vidéo s’est progressivement développée, soulevant de nombreuses problématiques quant à l’encadrement contractuel de ses joueurs et de leurs relations professionnelles. 

Afin de protéger le développement de l’e-sport, le législateur a institué en 2016 un premier régime juridique intégrant les spécificités de la matière. En effet, la loi du 7 octobre 2016 pour une République numérique, suivi du décret de 2017 relatif au statut des joueurs professionnels salariés de jeux vidéo compétitifs, a créé un contrat de travail spécifique aux joueurs professionnels de jeux vidéo.

 

Ce contrat de travail propre au monde du e-sport présente différentes caractéristiques :

 Le contrat à durée indéterminée 

Il s’agit d’un contrat à durée déterminée (CDD) d’une durée minimale d’un an et maximale de cinq ans, renouvelable indéfiniment. Le contrat à durée indéterminée (CDI), qui est pourtant le contrat de droit commun, n’est pas adapté aux spécificités de l’e-sport. En effet, les compétitions de jeux vidéo fonctionnent par saison de 12 mois, nécessitant de fait une fluidité accrue dans la sélection ou remplacement des effectifs d’une équipe. 

Par exception, un contrat e-sport peut être conclu pour une durée inférieure à douze mois en cas de remplacement d’un joueur professionnel absent ou s’il court au minimum jusqu’au terme de la saison du jeu. Par exemple, le contrat e-sport est conclu en vue de la création d’un nouveau poste de joueur dans une équipe existante, dès lors que le contrat court au moins jusqu’au terme de la saison du jeu.

 Mentions obligatoires du contrat 

Le contrat de e-sport doit répondre à un certain formalisme[1] (lydia-des-pratiques-nuisibles-denoncees-par-les-utilisateurs.html#_ftn1) : rédigé en au moins trois exemplaires originaux, il doit être établi par écrit, comporter l’identité des parties, la date d’embauche du joueur et la durée de son engagement, le montant de sa rémunération…

Cependant, contrairement à d’autres CDD, il ne comporte pas d’indemnité de précarité obligatoire.


 



[1] (applewebdata://20EAC894-790F-4CD0-828E-D63E9F6959D9#_ftnref1) Article 102, LOI n° 2016-1321 du 7 octobre 2016 pour une République numérique

 Contrat obligatoire pour les sociétés et associations ayant reçu l’agrément 

Le contrat de e-sport est obligatoire pour les sociétés ayant reçu l’agrément du Ministère en charge du numérique. Ainsi, la possibilité de conclure de tels contrats avec des joueurs professionnels n’est réservée qu’à certaines sociétés et associations ayant obtenu un agrément spécial. A ce jour, ce statut se répand mais réservé aux plus grosses structures, telles que TIDES, GameWard, Gamers Origin, LDLC OL et Izidream. 

Le respect de ces conditions de forme et de fond est essentiel puisqu’en cas d’irrégularité, le contrat signé pourra être requalifié en CDI. En outre, l’employeur pourra être condamné à payer une amende de 3 750 € et risque 6 mois d’emprisonnement.

 Le cas des mineurs 

En principe, en droit commun du travail, il est interdit d’employer des travailleurs de moins de 16 ans. Toutefois, la loi du 7 octobre 2016 a porté une attention particulière aux joueurs d’e-sport mineurs, qui constituent une part importante des joueurs amateurs et professionnels. Ainsi, une structure bénéficiant de l’agrément peut employer des mineurs de moins de 16 ans, dès lors qu’elle en a reçu l’autorisation de la Commission des enfants du spectacle. Les mineurs de moins de 12 ans ont toutefois l’interdiction de participer aux compétitions e-sportives.

Pour les mineurs non émancipés, ils doivent disposer d’une autorisation parentale pour pouvoir travailler entre 16 et 18 ans.

 Peut-on négocier un contrat e-sport ? 

Le contrat e-sport reste un contrat de travail dont les modalités peuvent être négociées, à l’exception de sa durée minimale ou maximale. Par exemple, il peut être intéressant de négocier les heures et jours de jeu, ainsi que les jours de participation aux tournois. 

Toutefois, le CDD e-sport ne semble pas adapté aux exigences du secteur en matière de flexibilité et de temps de travail. En effet, un joueur professionnel peut être amené à participer à des compétitions les jours fériés, les weekends ou de nuit. En l’absence de convention collective spécifique au secteur de l’e-sport, aucune disposition ne régit ce type particularité. En outre, les joueurs professionnels sont menés à s’entraîner de nombreuses heures en vue des compétitions. Or il est particulièrement difficile de distinguer clairement entre les heures d’entraînement au titre du contrat de travail et les heures de jeux « loisirs ».

Néanmoins, il est essentiel d’adapter son contrat e-sport afin de ne pas violer les dispositions contractuelles, et engager sa responsabilité. En effet, le non-respect du contrat de travail peut être sanctionné par la rupture du contrat et la condamnation à des dommages et intérêts.

 Comment récupérer ses gains ? 

Au-delà du salaire prévu dans les contrats de e-sport ou des revenus de streaming, les joueurs professionnels peuvent gagner lors des compétitions ce qu’on appelle des « cash prizes ». Dans ce cas, lorsqu’ils remportent une compétition, les joueurs salariés d’une structure se voient reverser une rémunération complémentaire sous forme de « prime de match ». Ces primes doivent être déclarées par les joueurs puisqu’elles sont imposables à l’impôt sur le revenu dans la catégorie des traitements et salaires. En outre, ces primes seront sujettes aux cotisations sociales, à la CSG ainsi qu’à la CRDS. 

 

Par ailleurs, la perception de ces gains par les joueurs est garantie par de nombreux procédés. Par exemple, lorsque le montant total des gains dépasse la somme de 10 000 euros, l’organisateur de la compétition doit justifier de l’existence d’un instrument garantissant le versement du cash prize aux joueurs (fiducie, sûreté, assurance…).

 Conclusion 

Bien que le législateur ait institué un contrat de travail propre aux joueurs professionnels de e-sport, celui-ci ne semble pas toujours adapté aux spécificités de ce domaine. Il est donc très important de négocier son contrat e-sport afin que celui-ci corresponde au mieux à la réalité de ce métier 2.0.









©2022 ZIEGLER et ASSOCIES  - Avocats à   Paris 16"
